name,state,brthYr,post1906,region,handPost,thumbSty
Henry Thomas,TX,1874,0,3,1,3
Frank Stokes,TN,1887,0,2,1,3
Sam Collins,MS,1887,0,2,1,2
Peg Leg Howell,GA,1888,0,1,2,2
Huddie Ledbetter,TX,1888,0,3,2,3
Charley Jordan,AR,1890,0,2,1,2
Jim Jackson,MS,1890,0,2,1,1
John Hurt,MS,1893,0,2,1,1
Furry Lewis,TN,1893,0,2,2,1
Big Bill Broonzy,IL,1893,0,2,2,3
Blind Blake,FL,1893,0,1,1,1
Elizabeth Cotten,NC,1895,0,1,1,1
Mance Lipscomb,TX,1895,0,3,3,3
Elvie Johnson,KY,1895,0,2,1,1
Cat Iron,MS,1896,0,2,1,1
Robert Willkins,MS,1896,0,2,1,1
Jesse Fuller,GA,1896,0,1,1,3
Rev. Gary Davis,SC,1896,0,1,1,1
Walter Phelps,SC,1896,0,1,1,3
Sam Chatmon,MS,1897,0,2,1,2
Memphis Minnie,MS,1897,0,2,2,2
Lemon Jefferson,TX,1897,0,3,1,3
Sylvester Weaver,KY,1897,0,2,2,3
Willie McTell,GA,1898,0,1,2,3
Pink Anderson,SC,1900,0,1,1,1
Ishmon Bracey,MS,1901,0,2,3,2
Skip James,MS,1902,0,2,1,3
Willie Johnson,TX,1902,0,3,2,3
Peetie Wheatstraw,AR,1902,0,2,3,3
Son House,MS,1902,0,2,1,3
Barbecue Bob Hicks,GA,1902,0,1,1,3
Big Joe Williams,MS,1903,0,2,2,3
Lum Guffin,TN,1903,0,2,2,1
Scrapper Blackwell,IN,1903,0,2,1,3
Scott Dunbar,MS,1904,0,2,1,2
Daniel K. Womack,VA,1904,0,1,2,1
Sleepy John Estes,TN,1904,0,2,2,3
Roosevelt Holts,MS,1905,0,2,1,2
Arthur Crudup,MS,1905,0,2,2,2
Joe McCoy,MS,1905,0,2,3,3
Black Ace,TX,1905,0,3,1,1
Ed Bell,AL,1905,0,2,2,3
Curley Weaver,GA,1906,1,1,1,2
Carl Martin,VA,1906,1,1,1,2
Babe Stovall,MS,1907,1,2,1,1
Shirley Griffith,MS,1908,1,2,2,3
Blind Boy Fuller,NC,1908,1,1,1,1
Henry Johnson,SC,1908,1,1,1,1
Howard Armstrong,TN,1909,1,1,2,3
Henry Townsend,IL,1909,1,2,2,2
Bukka White,MS,1909,1,2,2,3
Homesick James,TN,1910,1,2,2,3
Ted Bogan,SC,1910,1,1,1,1
Willie Trice,NC,1910,1,1,1,1
Herman E. Johnson,LA,1910,1,2,1,2
Nat Reese,WV,1911,1,1,2,2
Robert Johnson,MS,1911,1,2,1,2
Lightnin Hopkins,TX,1912,1,3,2,3
Etta Baker,NC,1913,1,1,1,1
Buddy Moss,GA,1914,1,1,1,2
Robert Pete Williams,LA,1914,1,2,3,2
Josh White,SC,1915,1,1,1,3
Honeyboy Edwards,MS,1915,1,2,1,2
Rev. Pearly Brown,GA,1915,1,1,2,2
Muddy Waters,MS,1915,1,2,3,3
Brownie McGhee,TN,1915,1,1,1,2
John Lee,AL,1915,1,2,1,1
Lil Son Jackson,TX,1916,1,3,1,2
Frankie Lee Simms,TX,1917,1,3,2,3
Richard Trice,NC,1917,1,1,1,1
John Lee Hooker,MS,1917,1,2,3,2
Archie Edwards,VA,1918,1,1,1,1
Elmore James,MS,1918,1,2,3,2
Frank Hovington,DE,1919,1,1,1,1
Jim Brewer,MS,1920,1,2,2,3
Pernell Charity,VA,1920,1,1,1,1
Lowell Fulson,OK,1921,1,3,2,2
Joe Hill Louis,TN,1921,1,2,3,3
John Jackson,VA,1924,1,1,3,1
George Bussey,GA,1924,1,1,2,2
Maxwell Street Jimmy Davis,MS,1925,1,2,3,3
R.L. Burnside,MS,1926,1,2,2,2
Turnell Fodrell,VA,1927,1,1,1,1
Amos Stokes,GA,1928,1,1,1,1
John Dee Holeman,NC,1929,1,1,1,3
John Cephas,VA,1930,1,1,1,1
Jukeboy Bonner,TX,1932,1,3,3,3
Jessie Mae Hemphill,MS,1933,1,2,2,2
Jimmie Lee Harris,AL,1935,1,2,2,3
Snooks Eaglin,LA,1936,1,2,1,2
Larry Johnson,GA,1938,1,1,1,1
Tom Winslow,NC,1938,1,1,1,1
Rober Belfour,MS,1940,1,2,2,2
